k,n,p,nombre,longitud_esperada,prob_cobertura
500,5,0.99,asintotico_slutsky,0.00775628829348008,0.9415
500,5,0.99,bootstrap,0.007682620000000013,0.924
500,5,0.99,clopper,0.00820176051277579,0.958
500,20,0.01,asintotico_cuadratico,0.003913271255034108,0.958
500,20,0.01,asintotico_slutsky,0.003895836560098216,0.9525
500,20,0.01,bootstrap,0.00386440125,0.9455
500,20,0.01,clopper,0.004001489050070876,0.961
500,20,0.1,asintotico_cuadratico,0.011756666642539259,0.947
500,20,0.1,asintotico_slutsky,0.011754906567370303,0.953
500,20,0.1,bootstrap,0.011703346249999998,0.9475
500,20,0.1,clopper,0.01185481300625142,0.951
500,20,0.5,asintotico_cuadratico,0.01959484005871735,0.9385
500,20,0.5,asintotico_slutsky,0.01959860293769653,0.9385
500,20,0.5,bootstrap,0.019465597500000004,0.9365
500,20,0.5,clopper,0.01969620217240713,0.942
500,20,0.9,asintotico_cuadratico,0.0117554770742905,0.9485
500,20,0.9,asintotico_slutsky,0.01175371592139021,0.9475
500,20,0.9,bootstrap,0.011687637499999997,0.9485
500,20,0.9,clopper,0.011853622791432537,0.9505
500,20,0.99,asintotico_cuadratico,0.0039141200790222255,0.9495
500,20,0.99,asintotico_slutsky,0.003896687955316542,0.946
500,20,0.99,bootstrap,0.003869153749999998,0.9425
500,20,0.99,clopper,0.00400233952807979,0.9555
500,50,0.01,asintotico_cuadratico,0.0024685727925100307,0.953
500,50,0.01,asintotico_slutsky,0.0024641615943731864,0.9545
500,50,0.01,bootstrap,0.0024496294999999998,0.95
500,50,0.01,clopper,0.0025055931041224923,0.9555
500,50,0.1,asintotico_cuadratico,0.007438292181697521,0.9585
500,50,0.1,asintotico_slutsky,0.007437847988413901,0.959
500,50,0.1,bootstrap,0.007393333,0.958
500,50,0.1,clopper,0.007477826504086118,0.96
500,50,0.5,asintotico_cuadratico,0.012394692183384695,0.945
500,50,0.5,asintotico_slutsky,0.012395644381423682,0.945
500,50,0.5,bootstrap,0.01231928250000001,0.943
500,50,0.5,clopper,0.01243503965276525,0.946
500,50,0.9,asintotico_cuadratico,0.007439059223077838,0.9475
500,50,0.9,asintotico_slutsky,0.007438615302924526,0.9485
500,50,0.9,bootstrap,0.007390867499999999,0.9455
500,50,0.9,clopper,0.007478593709071628,0.95
500,50,0.99,asintotico_cuadratico,0.0024686604247427255,0.945
500,50,0.99,asintotico_slutsky,0.002464248841226795,0.9445
500,50,0.99,bootstrap,0.0024465830000000013,0.942
500,50,0.99,clopper,0.0025056804797596245,0.948
500,100,0.01,asintotico_cuadratico,0.0017449699446388618,0.9475
